# Program:featureCounts v1.6.4; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "6" "-a" "consensus_peaks.mRp.clN.saf" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "Tscm_R1.mLb.clN.sorted.bam" "Tscm_R3.mLb.clN.sorted.bam" "Tsem_R2.mLb.clN.sorted.bam" "Tsem_R1.mLb.clN.sorted.bam" "Tscm_R2.mLb.clN.sorted.bam" "Tsem_R3.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	Tscm_R1.mLb.clN.sorted.bam	Tscm_R3.mLb.clN.sorted.bam	Tsem_R2.mLb.clN.sorted.bam	Tsem_R1.mLb.clN.sorted.bam	Tscm_R2.mLb.clN.sorted.bam	Tsem_R3.mLb.clN.sorted.bam
Interval_2091	chr1	100459538	100459874	+	337	13	23	11	6	28	17
Interval_2092	chr1	100463735	100464100	+	366	8	28	15	16	30	15
Interval_2093	chr1	100530872	100531310	+	439	15	27	10	12	25	16
Interval_2094	chr1	100539127	100539451	+	325	11	9	2	7	8	10
Interval_2095	chr1	100543701	100543970	+	270	6	16	4	5	7	12
Interval_2096	chr1	100581183	100581494	+	312	2	19	6	8	10	7
Interval_2097	chr1	100614178	100614663	+	486	8	17	5	5	20	15
Interval_2098	chr1	100712926	100713523	+	598	18	90	52	65	59	76
Interval_2099	chr1	100814935	100815159	+	225	0	4	4	0	13	3
Interval_2100	chr1	100895651	100897057	+	1407	223	367	218	255	290	318
Interval_2101	chr1	100927224	100927769	+	546	32	85	36	43	58	62
Interval_2102	chr1	100949395	100950027	+	633	60	110	65	57	87	70
Interval_2103	chr1	101005248	101005596	+	349	15	16	4	8	14	10
Interval_2104	chr1	101025338	101025545	+	208	5	9	5	6	10	15
Interval_2105	chr1	101025590	101026255	+	666	33	73	46	34	70	60
Interval_2106	chr1	101066632	101066832	+	201	1	3	4	0	11	6
Interval_2107	chr1	101081471	101081945	+	475	24	55	22	35	42	37
Interval_2108	chr1	101111883	101112675	+	793	115	257	152	176	209	197
Interval_2109	chr1	101120974	101121284	+	311	8	16	5	2	12	5
Interval_2110	chr1	101122528	101122850	+	323	8	22	7	13	16	14
Interval_2111	chr1	101128182	101128796	+	615	38	63	13	27	38	20
Interval_2112	chr1	101128853	101129131	+	279	6	18	12	8	10	14
Interval_2113	chr1	101136673	101137519	+	847	10	46	19	24	30	47
Interval_2114	chr1	101178993	101179443	+	451	2	15	9	12	15	10
Interval_2115	chr1	101235266	101237025	+	1760	144	315	155	192	232	222
Interval_2116	chr1	101238071	101238334	+	264	21	49	19	17	32	26
Interval_2117	chr1	101238810	101239527	+	718	63	109	37	58	66	68
Interval_2118	chr1	101257788	101258206	+	419	23	33	14	19	16	22
Interval_2119	chr1	101262749	101263074	+	326	11	21	3	3	10	8
Interval_2120	chr1	101264687	101265114	+	428	21	23	8	6	23	11
Interval_2121	chr1	101278833	101279223	+	391	11	32	20	9	25	25
Interval_2122	chr1	101284080	101284451	+	372	7	30	25	23	22	30
Interval_2123	chr1	101288432	101288919	+	488	40	72	24	26	33	38
Interval_2124	chr1	101291742	101291962	+	221	15	21	9	8	8	6
Interval_2125	chr1	101293711	101293993	+	283	22	30	7	15	8	5
Interval_2126	chr1	101309260	101310259	+	1000	138	226	152	183	214	195
Interval_2127	chr1	101338747	101339181	+	435	24	47	7	19	9	19
Interval_2128	chr1	101357365	101357815	+	451	15	23	14	19	28	12
Interval_2129	chr1	101371181	101371528	+	348	7	6	1	6	11	6
Interval_2130	chr1	101452018	101452241	+	224	12	11	0	1	1	1
Interval_2131	chr1	102211008	102211304	+	297	4	6	1	2	9	6
Interval_2132	chr1	102344741	102345010	+	270	11	6	0	2	4	3
Interval_2133	chr1	102675813	102676021	+	209	3	4	4	1	8	3
Interval_2134	chr1	102853958	102854309	+	352	4	4	5	6	1	11
Interval_2135	chr1	103515017	103515303	+	287	4	12	4	11	10	9
Interval_2136	chr1	103525162	103525514	+	353	19	16	12	15	16	28
Interval_2137	chr1	103525641	103526428	+	788	57	76	55	60	56	47
Interval_2138	chr1	103908055	103908275	+	221	3	6	3	0	5	2
Interval_2139	chr1	103927166	103927366	+	201	1	3	0	4	1	9
Interval_2140	chr1	104019242	104019464	+	223	2	3	2	3	2	10
Interval_2141	chr1	104057609	104057935	+	327	8	9	1	0	3	9
Interval_2142	chr1	104390398	104390598	+	201	5	6	0	1	5	1
Interval_2143	chr1	104853670	104853870	+	201	3	4	0	2	5	0
Interval_2144	chr1	105005698	105005983	+	286	2	4	1	6	3	13
Interval_2145	chr1	105157759	105158118	+	360	6	7	4	4	5	12
Interval_2146	chr1	105205920	105206120	+	201	2	4	4	4	2	6
Interval_2147	chr1	105276420	105276765	+	346	8	4	3	0	13	6
Interval_2148	chr1	105622569	105622925	+	357	5	9	4	5	4	11
Interval_2149	chr1	106013795	106014050	+	256	1	1	2	5	3	7
Interval_2150	chr1	106121778	106121978	+	201	4	0	1	2	4	8
Interval_2151	chr1	106149852	106150136	+	285	4	2	3	7	4	11
Interval_2152	chr1	106306564	106307132	+	569	4	5	7	7	1	22
Interval_2153	chr1	106412360	106412700	+	341	1	4	4	11	5	14
Interval_2154	chr1	107056441	107057540	+	1100	34	83	42	48	82	77
Interval_2155	chr1	107140090	107140426	+	337	6	10	4	4	5	5
Interval_2156	chr1	107786004	107786988	+	985	52	212	241	181	252	218
Interval_2157	chr1	107804103	107804513	+	411	2	22	18	4	27	22
Interval_2158	chr1	107821362	107821704	+	343	4	20	15	15	16	13
Interval_2159	chr1	107829317	107829725	+	409	2	21	14	6	23	7
Interval_2160	chr1	107840771	107841119	+	349	2	10	14	10	24	18
Interval_2161	chr1	107844603	107844952	+	350	3	11	8	10	15	14
Interval_2162	chr1	107897580	107897860	+	281	2	6	6	5	6	10
Interval_2163	chr1	107936618	107937412	+	795	3	46	42	57	32	65
Interval_2164	chr1	107943762	107943978	+	217	3	6	1	1	7	3
Interval_2165	chr1	107963472	107964159	+	688	9	55	69	58	64	53
Interval_2166	chr1	107965435	107965883	+	449	7	20	19	23	30	30
Interval_2167	chr1	108078077	108078463	+	387	7	10	30	10	62	17
Interval_2168	chr1	108079658	108080053	+	396	8	21	34	16	42	44
Interval_2169	chr1	108080437	108080797	+	361	4	24	8	22	24	32
Interval_2170	chr1	108107688	108107916	+	229	2	4	2	4	11	5
Interval_2171	chr1	108125484	108125905	+	422	7	14	11	9	12	23
Interval_2172	chr1	108199911	108200613	+	703	20	26	10	39	18	22
Interval_2173	chr1	108200723	108201117	+	395	3	11	10	11	9	19
Interval_2174	chr1	108504857	108505172	+	316	2	9	6	4	7	6
Interval_2175	chr1	108512477	108512677	+	201	4	5	4	1	5	1
Interval_2176	chr1	108559726	108560131	+	406	31	59	27	56	50	50
Interval_2177	chr1	108560969	108561252	+	284	10	16	13	22	15	30
Interval_2178	chr1	108561721	108562110	+	390	11	51	14	35	42	55
Interval_2179	chr1	108570151	108570511	+	361	11	22	5	15	12	24
Interval_2180	chr1	108590825	108591493	+	669	63	122	54	87	84	133
Interval_2181	chr1	108592112	108592331	+	220	2	7	12	13	6	19
Interval_2182	chr1	108640156	108640506	+	351	11	38	8	15	18	20
Interval_2183	chr1	108644887	108645234	+	348	20	58	33	36	45	51
Interval_2184	chr1	108645635	108645851	+	217	9	22	15	12	23	38
Interval_2185	chr1	108646585	108647238	+	654	80	210	149	106	189	166
Interval_2186	chr1	108660803	108661611	+	809	48	68	37	92	61	57
Interval_2187	chr1	108692014	108693268	+	1255	162	309	171	223	239	263
Interval_2188	chr1	108703410	108704336	+	927	38	100	64	65	95	68
Interval_2189	chr1	108709002	108709396	+	395	8	24	9	19	19	20
Interval_2190	chr1	108746340	108747017	+	678	113	216	121	141	169	164
Interval_2191	chr1	108876682	108877341	+	660	34	75	51	80	55	59
Interval_2192	chr1	108898143	108898413	+	271	1	7	1	8	7	8
Interval_2193	chr1	108956448	108957186	+	739	78	121	40	63	62	75
Interval_2194	chr1	108961276	108961476	+	201	5	32	15	20	13	27
Interval_2195	chr1	108962990	108963770	+	781	84	125	76	121	108	113
Interval_2196	chr1	109041338	109042526	+	1189	136	172	112	150	153	171
Interval_2197	chr1	109075743	109076276	+	534	27	51	31	43	34	47
Interval_2198	chr1	109090392	109091060	+	669	54	107	46	59	87	106
Interval_2199	chr1	109099867	109100725	+	859	108	196	98	148	138	177
Interval_2200	chr1	109112664	109113079	+	416	22	40	18	27	25	39
Interval_2201	chr1	109113722	109114364	+	643	110	133	57	106	93	87
Interval_2202	chr1	109162299	109162650	+	352	7	21	0	0	3	3
Interval_2203	chr1	109193799	109193999	+	201	2	12	1	2	2	2
Interval_2204	chr1	109213599	109214559	+	961	43	67	40	51	72	84
Interval_2205	chr1	109239450	109239853	+	404	2	13	6	8	14	15
Interval_2206	chr1	109249289	109249638	+	350	12	14	15	21	15	19
Interval_2207	chr1	109282987	109283688	+	702	42	82	45	43	68	77
Interval_2208	chr1	109397882	109398286	+	405	11	20	14	21	16	19
Interval_2209	chr1	109404898	109405163	+	266	2	16	4	2	4	4
Interval_2210	chr1	109424937	109425217	+	281	19	49	25	14	26	40
Interval_2211	chr1	109425373	109425854	+	482	19	65	23	34	46	49
Interval_2212	chr1	109425948	109426843	+	896	156	251	156	198	189	198
Interval_2213	chr1	109483236	109484417	+	1182	82	142	62	105	102	161
Interval_2214	chr1	109493846	109494493	+	648	54	71	40	60	74	85
Interval_2215	chr1	109502180	109502958	+	779	68	107	59	75	94	75
Interval_2216	chr1	109509808	109510139	+	332	7	10	5	7	7	15
Interval_2217	chr1	109532218	109533201	+	984	33	46	25	33	42	52
Interval_2218	chr1	109546302	109546574	+	273	14	30	10	18	19	28
Interval_2219	chr1	109548267	109548930	+	664	74	142	78	93	106	114
Interval_2220	chr1	109603279	109603608	+	330	7	15	0	3	8	1
Interval_2221	chr1	109619548	109619911	+	364	42	51	11	40	34	34
Interval_2222	chr1	109620714	109621323	+	610	112	191	76	117	122	153
Interval_2223	chr1	109640172	109640594	+	423	8	22	8	12	18	28
Interval_2224	chr1	109643317	109643720	+	404	8	22	9	9	19	18
Interval_2225	chr1	109655791	109656339	+	549	10	8	13	16	14	9
Interval_2226	chr1	109667771	109668174	+	404	5	15	12	7	18	13
Interval_2227	chr1	109687628	109688019	+	392	0	0	34	0	33	0
Interval_2228	chr1	109739994	109740571	+	578	12	40	24	24	43	27
Interval_2229	chr1	109773685	109774067	+	383	7	22	7	14	11	15
Interval_2230	chr1	109776885	109777215	+	331	7	12	4	9	13	14
Interval_2231	chr1	109790722	109791208	+	487	25	49	20	27	57	49
Interval_2232	chr1	109793807	109794198	+	392	16	30	8	21	16	18
Interval_2233	chr1	109802216	109802884	+	669	51	103	28	36	43	60
Interval_2234	chr1	109906126	109906590	+	465	14	44	23	19	29	34
Interval_2235	chr1	109910634	109910896	+	263	12	10	6	11	9	5
Interval_2236	chr1	109984371	109984937	+	567	69	153	82	96	131	142
Interval_2237	chr1	110003894	110004286	+	393	4	18	11	4	7	11
Interval_2238	chr1	110011597	110012010	+	414	8	25	10	5	9	12
Interval_2239	chr1	110034284	110035211	+	928	66	130	48	64	104	107
Interval_2240	chr1	110053849	110054062	+	214	1	3	6	4	4	11
Interval_2241	chr1	110088199	110088581	+	383	5	13	5	4	9	14
Interval_2242	chr1	110106130	110106388	+	259	3	7	3	2	5	10
Interval_2243	chr1	110196943	110197308	+	366	9	18	8	17	13	13
Interval_2244	chr1	110207729	110208080	+	352	17	29	18	13	36	38
Interval_2245	chr1	110209856	110210467	+	612	74	88	58	100	74	70
Interval_2246	chr1	110211021	110211453	+	433	33	28	7	35	18	30
Interval_2247	chr1	110312535	110312997	+	463	9	16	13	9	15	16
Interval_2248	chr1	110338234	110339593	+	1360	403	692	424	500	606	593
Interval_2249	chr1	110407238	110408153	+	916	40	79	39	60	67	87
Interval_2250	chr1	110460234	110460657	+	424	9	23	5	6	7	16
Interval_2251	chr1	110495962	110496287	+	326	2	10	7	6	6	9
Interval_2252	chr1	110555278	110555686	+	409	4	10	11	10	10	11
Interval_2253	chr1	110619351	110620146	+	796	49	86	46	44	72	68
Interval_2254	chr1	110630810	110631761	+	952	103	216	105	98	121	139
Interval_2255	chr1	110634726	110634985	+	260	11	27	6	12	16	11
Interval_2256	chr1	110646100	110646324	+	225	1	4	6	9	9	13
Interval_2257	chr1	110647247	110647826	+	580	32	41	29	31	50	29
Interval_2258	chr1	110668455	110668875	+	421	35	95	39	39	62	55
Interval_2259	chr1	110672022	110672454	+	433	62	113	62	77	76	99
Interval_2260	chr1	110672646	110673198	+	553	54	127	82	54	89	97
Interval_2261	chr1	110674689	110675039	+	351	34	51	23	58	33	50
Interval_2262	chr1	110686303	110686503	+	201	3	10	3	4	2	5
Interval_2263	chr1	110726808	110727051	+	244	1	8	4	3	8	4
Interval_2264	chr1	110766086	110766286	+	201	3	5	4	3	5	7
Interval_2265	chr1	110780878	110781222	+	345	11	15	5	6	13	14
Interval_2266	chr1	110787097	110788020	+	924	29	61	24	23	39	58
Interval_2267	chr1	110829966	110830306	+	341	6	17	9	3	9	11
Interval_2268	chr1	110872841	110873315	+	475	22	60	34	38	54	45
Interval_2269	chr1	110874556	110874756	+	201	10	22	9	6	14	17
Interval_2270	chr1	110875169	110875742	+	574	49	94	64	56	106	61
Interval_2271	chr1	110879948	110880419	+	472	49	103	63	58	86	81
Interval_2272	chr1	110880691	110881409	+	719	105	199	127	137	174	146
Interval_2273	chr1	110887882	110888469	+	588	5	12	10	7	29	13
Interval_2274	chr1	110894013	110894219	+	207	3	16	14	6	20	14
Interval_2275	chr1	110896083	110896493	+	411	23	74	43	41	59	46
Interval_2276	chr1	110897674	110898034	+	361	31	67	13	24	51	37
Interval_2277	chr1	110916930	110917144	+	215	2	5	4	3	5	2
Interval_2278	chr1	110963322	110964368	+	1047	227	356	207	222	312	306
Interval_2279	chr1	110982302	110982737	+	436	1	22	13	18	14	37
Interval_2280	chr1	111030523	111030723	+	201	1	7	1	0	7	7
Interval_2281	chr1	111139539	111140688	+	1150	51	113	44	91	87	121
Interval_2282	chr1	111197547	111197953	+	407	20	36	12	16	28	29
Interval_2283	chr1	111200504	111200714	+	211	9	15	16	12	28	16
Interval_2284	chr1	111203781	111204174	+	394	29	54	30	59	40	48
Interval_2285	chr1	111204292	111204770	+	479	32	42	35	52	47	48
Interval_2286	chr1	111214805	111215089	+	285	12	33	13	7	29	17
Interval_2287	chr1	111215775	111216504	+	730	102	251	169	172	204	204
Interval_2288	chr1	111221622	111222328	+	707	24	62	30	24	50	38
Interval_2289	chr1	111225763	111226243	+	481	10	32	12	23	23	29
Interval_2290	chr1	111251674	111251937	+	264	1	11	3	0	8	7
Interval_2291	chr1	111274814	111275014	+	201	1	4	4	1	8	6
Interval_2292	chr1	111335250	111335828	+	579	14	61	4	8	12	15
Interval_2293	chr1	111346185	111346843	+	659	60	127	42	62	85	64
Interval_2294	chr1	111354606	111355083	+	478	12	19	8	9	10	11
Interval_2295	chr1	111406256	111406734	+	479	11	32	17	28	33	20
Interval_2296	chr1	111441514	111441931	+	418	6	20	5	14	16	13
Interval_2297	chr1	111448634	111449707	+	1074	70	146	68	117	113	144
Interval_2298	chr1	111470866	111471478	+	613	68	94	49	50	90	52
Interval_2299	chr1	111476700	111477167	+	468	31	53	17	25	32	23
Interval_2300	chr1	111507417	111508556	+	1140	31	92	62	75	80	103
Interval_2301	chr1	111516063	111516600	+	538	21	47	9	8	39	19
Interval_2302	chr1	111592735	111593366	+	632	84	206	108	129	150	177
Interval_2303	chr1	111596550	111596817	+	268	16	39	23	18	26	30
Interval_2304	chr1	111598508	111599050	+	543	20	52	23	37	26	38
Interval_2305	chr1	111603924	111604463	+	540	68	136	62	67	99	96
Interval_2306	chr1	111616356	111616674	+	319	13	26	8	25	18	22
Interval_2307	chr1	111619481	111620442	+	962	33	64	41	77	74	77
Interval_2308	chr1	111624483	111624753	+	271	11	21	10	13	12	16
Interval_2309	chr1	111647812	111648151	+	340	7	9	5	0	9	6
Interval_2310	chr1	111714904	111715227	+	324	5	14	6	6	12	18
Interval_2311	chr1	111723354	111723924	+	571	51	86	52	61	86	53
Interval_2312	chr1	111738873	111739627	+	755	28	31	13	42	16	33
Interval_2313	chr1	111755264	111756183	+	920	128	192	106	171	150	198
Interval_2314	chr1	111769612	111769812	+	201	5	6	0	5	3	4
Interval_2315	chr1	112344629	112345260	+	632	11	64	46	29	66	60
Interval_2316	chr1	112369669	112370111	+	443	12	23	12	10	18	27
Interval_2317	chr1	112390751	112391177	+	427	11	21	10	8	20	24
Interval_2318	chr1	112395913	112396651	+	739	18	41	15	23	34	40
Interval_2319	chr1	112466059	112466522	+	464	11	27	14	11	19	25
Interval_2320	chr1	112508480	112509290	+	811	11	34	16	29	18	30
Interval_2321	chr1	112617945	112618567	+	623	34	125	118	74	153	101
Interval_2322	chr1	112618617	112619079	+	463	32	49	39	33	39	42
Interval_2323	chr1	112619516	112620256	+	741	96	188	107	114	138	152
Interval_2324	chr1	112668668	112669054	+	387	4	28	11	5	20	21
Interval_2325	chr1	112674370	112675099	+	730	27	55	28	23	40	52
Interval_2326	chr1	112700626	112701076	+	451	9	30	24	17	19	23
Interval_2327	chr1	112705026	112705526	+	501	15	39	29	11	42	30
Interval_2328	chr1	112715236	112715895	+	660	75	114	43	105	85	75
Interval_2329	chr1	112716218	112716608	+	391	12	48	20	24	32	38
Interval_2330	chr1	112809228	112809502	+	275	2	5	4	1	5	11
Interval_2331	chr1	112880973	112881269	+	297	7	4	3	7	4	11
Interval_2332	chr1	112955347	112956837	+	1491	83	128	65	111	83	125
Interval_2333	chr1	112956936	112957828	+	893	34	85	44	71	54	70
Interval_2334	chr1	113046613	113046894	+	282	1	10	8	3	6	8
Interval_2335	chr1	113072641	113073705	+	1065	116	232	127	154	195	202
Interval_2336	chr1	113140693	113140893	+	201	3	5	2	4	7	4
Interval_2337	chr1	113146727	113147251	+	525	15	92	22	13	49	50
Interval_2338	chr1	113390024	113390647	+	624	63	83	66	57	90	58
Interval_2339	chr1	113391637	113392098	+	462	7	37	37	14	47	41
Interval_2340	chr1	113759056	113759963	+	908	25	51	22	48	45	46
Interval_2341	chr1	113783484	113783956	+	473	20	66	31	34	45	46
Interval_2342	chr1	113784115	113784553	+	439	14	13	33	25	19	31
Interval_2343	chr1	113792517	113792885	+	369	2	11	11	9	10	12
Interval_2344	chr1	113811937	113812815	+	879	158	274	159	198	237	260
Interval_2345	chr1	113871520	113872094	+	575	71	159	97	107	113	138
Interval_2346	chr1	113872190	113872459	+	270	8	16	5	20	14	27
Interval_2347	chr1	113874426	113874682	+	257	14	26	13	9	24	20
Interval_2348	chr1	113904466	113905675	+	1210	174	320	188	246	208	260
Interval_2349	chr1	113928940	113929682	+	743	163	308	186	202	248	243
Interval_2350	chr1	113930043	113931020	+	978	198	307	229	245	220	233
Interval_2351	chr1	113940283	113940999	+	717	23	32	20	30	35	22
Interval_2352	chr1	113947281	113947707	+	427	7	25	9	7	12	7
Interval_2353	chr1	113963651	113963851	+	201	5	4	3	2	5	1
Interval_2354	chr1	113975650	113975959	+	310	6	11	4	7	12	8
Interval_2355	chr1	114207724	114208150	+	427	1	10	6	8	9	20
Interval_2356	chr1	114282808	114283189	+	382	12	12	4	6	16	15
Interval_2357	chr1	114330379	114330885	+	507	12	19	16	8	32	17
Interval_2358	chr1	114341181	114341742	+	562	70	128	71	75	114	96
Interval_2359	chr1	114342372	114342661	+	290	15	35	12	16	39	26
Interval_2360	chr1	114346475	114346914	+	440	36	77	43	37	64	73
Interval_2361	chr1	114353334	114353548	+	215	3	11	3	6	6	8
Interval_2362	chr1	114467433	114467633	+	201	2	6	3	1	5	3
Interval_2363	chr1	114482559	114482922	+	364	4	7	3	2	13	11
Interval_2364	chr1	114488767	114489102	+	336	6	6	3	5	8	12
Interval_2365	chr1	114510431	114510848	+	418	20	28	8	31	21	30
Interval_2366	chr1	114511133	114512048	+	916	102	137	80	126	98	110
Interval_2367	chr1	114581323	114581997	+	675	93	177	84	106	108	119
Interval_2368	chr1	114669736	114670615	+	880	46	97	48	64	87	71
Interval_2369	chr1	114716387	114717110	+	724	65	107	64	76	90	98
Interval_2370	chr1	114757222	114758308	+	1087	123	229	123	164	188	202
Interval_2371	chr1	114780369	114781004	+	636	87	163	73	102	106	112
Interval_2372	chr1	115052505	115052849	+	345	10	10	4	9	5	12
Interval_2373	chr1	115062580	115063654	+	1075	176	307	198	210	238	234
Interval_2374	chr1	115084989	115085473	+	485	29	28	2	7	8	7
Interval_2375	chr1	115089477	115089843	+	367	12	13	1	14	20	15
Interval_2376	chr1	115089994	115090668	+	675	13	38	31	43	24	61
Interval_2377	chr1	115098953	115099971	+	1019	135	209	116	148	187	168
Interval_2378	chr1	115114403	115114623	+	221	2	12	4	9	5	11
Interval_2379	chr1	115139045	115139306	+	262	5	7	6	4	8	11
Interval_2380	chr1	115647426	115647827	+	402	9	29	3	6	7	15
Interval_2381	chr1	115828314	115828732	+	419	3	13	11	13	19	21
Interval_2382	chr1	115976000	115976318	+	319	4	11	4	6	3	13
Interval_2383	chr1	116006557	116006971	+	415	4	30	11	5	18	30
Interval_2384	chr1	116020845	116021080	+	236	3	9	0	5	6	5
Interval_2385	chr1	116116110	116116310	+	201	1	3	3	5	1	5
Interval_2386	chr1	116128574	116129065	+	492	17	71	23	17	32	21
Interval_2387	chr1	116138900	116139507	+	608	17	71	34	26	48	51
Interval_2388	chr1	116151356	116151590	+	235	8	13	9	4	12	6
Interval_2389	chr1	116151945	116152519	+	575	21	49	18	34	38	35
Interval_2390	chr1	116168231	116168853	+	623	16	34	19	22	31	32
Interval_2391	chr1	116232938	116233300	+	363	6	14	2	7	7	4
Interval_2392	chr1	116259714	116259928	+	215	8	7	4	1	2	8
Interval_2393	chr1	116325799	116326423	+	625	40	58	27	36	44	28
Interval_2394	chr1	116345820	116346278	+	459	45	60	15	21	38	16
Interval_2395	chr1	116372734	116373429	+	696	74	125	58	111	90	109
Interval_2396	chr1	116374005	116374296	+	292	18	34	8	27	26	24
Interval_2397	chr1	116374865	116375238	+	374	18	34	27	31	24	46
Interval_2398	chr1	116377596	116378284	+	689	75	124	64	89	83	107
Interval_2399	chr1	116390130	116390594	+	465	26	64	33	40	32	50
Interval_2400	chr1	116402425	116402730	+	306	5	11	4	3	5	12
Interval_2401	chr1	116418214	116418845	+	632	37	60	32	65	39	59
Interval_2402	chr1	116426441	116426657	+	217	0	4	2	4	1	8
Interval_2403	chr1	116485123	116485670	+	548	12	18	7	12	15	25
Interval_2404	chr1	116499087	116499341	+	255	6	18	5	2	10	17
Interval_2405	chr1	116504211	116504961	+	751	132	274	173	179	206	225
Interval_2406	chr1	116514966	116515553	+	588	64	96	74	99	86	83
Interval_2407	chr1	116515694	116516043	+	350	18	26	16	24	32	39
Interval_2408	chr1	116538470	116538981	+	512	29	59	31	51	42	51
Interval_2409	chr1	116556418	116557014	+	597	43	125	64	78	99	94
Interval_2410	chr1	116569710	116571351	+	1642	84	152	68	120	97	118
Interval_2411	chr1	116596229	116596553	+	325	8	10	3	5	8	6
Interval_2412	chr1	116737442	116738228	+	787	58	107	58	78	70	93
Interval_2413	chr1	116738705	116739234	+	530	46	74	50	65	64	60
Interval_2414	chr1	116754156	116754567	+	412	22	50	17	28	34	32
Interval_2415	chr1	116763232	116763823	+	592	62	138	60	51	58	63
Interval_2416	chr1	116764623	116764947	+	325	35	63	30	33	37	34
Interval_2417	chr1	116767075	116767340	+	266	18	43	29	22	41	26
Interval_2418	chr1	116769505	116770081	+	577	90	157	84	108	115	126
Interval_2419	chr1	116799419	116799893	+	475	6	18	19	22	15	38
Interval_2420	chr1	116806349	116806730	+	382	13	22	8	21	16	19
Interval_2421	chr1	116808759	116809342	+	584	18	40	22	15	30	32
Interval_2422	chr1	116816400	116816907	+	508	15	37	18	29	37	41
Interval_2423	chr1	116817601	116817929	+	329	5	9	7	17	13	20
Interval_2424	chr1	116827174	116827607	+	434	12	31	10	16	14	11
Interval_2425	chr1	116847963	116848187	+	225	4	9	1	2	5	6
Interval_2426	chr1	116877915	116878324	+	410	20	44	4	10	13	9
Interval_2427	chr1	116910558	116910789	+	232	4	4	1	5	10	5
Interval_2428	chr1	116933574	116934114	+	541	56	67	31	37	41	23
Interval_2429	chr1	116942384	116942771	+	388	17	14	4	6	13	3
Interval_2430	chr1	116962955	116963228	+	274	3	11	3	3	8	0
Interval_2431	chr1	116986931	116987603	+	673	14	28	18	15	15	20
Interval_2432	chr1	117003300	117003560	+	261	6	10	14	17	12	0
Interval_2433	chr1	117007039	117007545	+	507	27	28	23	34	37	5
Interval_2434	chr1	117049045	117049713	+	669	4	29	26	18	32	22
Interval_2435	chr1	117059427	117060477	+	1051	191	315	192	197	268	254
Interval_2436	chr1	117070137	117070515	+	379	2	6	26	7	16	11
Interval_2437	chr1	117077341	117077594	+	254	2	4	2	3	3	14
Interval_2438	chr1	117093933	117094324	+	392	6	23	10	7	24	9
Interval_2439	chr1	117121573	117122442	+	870	29	61	33	53	41	47
Interval_2440	chr1	117339940	117340329	+	390	7	24	2	9	9	11
Interval_2441	chr1	117346408	117346717	+	310	5	12	2	5	3	9
Interval_2442	chr1	117358066	117358568	+	503	15	32	18	17	26	42
Interval_2443	chr1	117362082	117362432	+	351	26	39	2	6	4	9
Interval_2444	chr1	117366815	117367594	+	780	38	33	24	62	30	30
Interval_2445	chr1	117367670	117368006	+	337	6	12	6	13	6	18
Interval_2446	chr1	117388338	117388542	+	205	6	10	0	2	2	5
Interval_2447	chr1	117535026	117535416	+	391	4	15	2	8	8	6
Interval_2448	chr1	117572649	117572886	+	238	1	11	2	4	5	2
Interval_2449	chr1	117605512	117606462	+	951	203	292	174	228	260	281
Interval_2450	chr1	117606844	117607134	+	291	24	55	19	27	28	53
Interval_2451	chr1	117607400	117607804	+	405	47	84	52	57	61	63
Interval_2452	chr1	117615437	117615869	+	433	24	57	26	52	35	43
Interval_2453	chr1	117644702	117644982	+	281	3	10	6	4	5	12
Interval_2454	chr1	117654493	117654835	+	343	24	41	27	29	38	38
Interval_2455	chr1	117656114	117656658	+	545	98	173	110	139	120	135
Interval_2456	chr1	117658713	117659106	+	394	54	124	63	73	89	89
Interval_2457	chr1	117661036	117661476	+	441	124	162	87	113	104	133
Interval_2458	chr1	117664217	117664860	+	644	115	178	131	152	167	164
Interval_2459	chr1	117674505	117674888	+	384	11	20	8	16	13	24
Interval_2460	chr1	117718955	117719425	+	471	32	34	1	8	1	4
Interval_2461	chr1	117758605	117759282	+	678	14	24	9	17	10	30
Interval_2462	chr1	117929149	117930202	+	1054	147	310	137	198	198	237
Interval_2463	chr1	119139490	119139862	+	373	27	41	14	52	15	49
Interval_2464	chr1	119139958	119140943	+	986	148	305	151	219	244	244
Interval_2465	chr1	119327587	119327787	+	201	0	3	1	4	0	6
Interval_2466	chr1	119712543	119712801	+	259	2	6	1	3	5	7
Interval_2467	chr1	119886159	119886530	+	372	1	5	5	3	6	13
Interval_2468	chr1	119968015	119968381	+	367	9	20	5	8	6	22
Interval_2469	chr1	120069102	120069810	+	709	22	26	20	26	23	27
Interval_2470	chr1	120087956	120088391	+	436	13	38	7	11	12	12
Interval_2471	chr1	120142838	120143278	+	441	27	50	24	21	29	30
Interval_2472	chr1	120176191	120176819	+	629	54	124	56	71	99	109
Interval_2473	chr1	120340782	120341294	+	513	12	22	15	18	15	19
Interval_2474	chr1	120342395	120342595	+	201	3	4	0	7	0	6
Interval_2475	chr1	120342663	120342943	+	281	3	16	1	1	2	12
Interval_2476	chr1	120354733	120355161	+	429	18	64	17	21	35	41
Interval_2477	chr1	120357065	120357456	+	392	20	58	20	29	34	44
